artist_album,key_index,year,Genre_0,Genre_1
Duke Ellington In A Mellotone,0,1940,13,116
Duke Ellington Sophisticated Lady,1,1940,13,116
Coleman Hawkins Rainbow Mist,3,1944,116,0
Lennie Tristano Crosscurrents,5,1949,16,32
Duke Ellington Liberian Suite,6,1949,13,116
Lee Konitz Subconscious-Lee,7,1949,16,32
Miles Davis Birth of the Cool,9,1950,32,0
Lennie Tristano Wow,12,1950,16,32
Stan Getz Quartets,13,1950,32,0
Stan Kenton City of Glass,14,1951,10,114
Oscar Peterson 1951,15,1951,16,0
Shorty Rogers Modern Sounds,16,1951,32,0
Gerry Mulligan Mulligan Quartet,17,1952,16,32
Duke Ellington Piano Reflections,18,1953,116,0
Modern Jazz Quartet Django,20,1953,32,93
Shorty Rogers Cool And Crazy,21,1953,13,32
Chet Baker Sextet,24,1954,32,0
Herbie Nichols The Third World,25,1955,62,0
Erroll Garner Concert by the Sea,27,1955,16,32
George Shearing Spell,28,1955,42,0
Horace Silver Horace Silver and the Jazz Messengers,29,1955,62,0
Lennie Tristano Lennie Tristano,30,1955,32,0
Frank Morgan Frank Morgan,32,1955,109,0
Frank Sinatra Songs for Young Lovers,34,1955,12,13
Charles Mingus Pithecanthropus Erectus ,35,1956,93,0
Modern Jazz Quartet Fontessa,36,1956,16,0
Thelonious Monk Brilliant Corners,37,1956,16,62
Sonny Rollins Saxophone Colossus,38,1956,16,0
George Russell Jazz Workshop,39,1956,82,93
Lennie Tristano Manhattan Studio/ New York Improvisations,40,1956,52,0
John Lewis Grand Encounter,42,1956,16,32
Miles Davis Round About Midnight,47,1956,62,0
Zoot Sims Tonite's Music Today,48,1956,16,32
Quincy Jones This Is How I Feel About Jazz,50,1956,13,0
Stan Kenton Cuban Fire,51,1956,5,0
Jimmy Smith A New Star A New Sound,53,1956,16,0
Kenny Burrell All Day Long,54,1956,62,0
Charles Mingus Tijuana Moods,55,1957,62,93
Art Blakey Orgy In Rhythm,56,1957,16,0
Yusef Lateef Jazz Mood,57,1957,62,82
John Coltrane Blue Train,58,1957,62,0
John Lewis Piano,59,1957,32,0
Milt Jackson Soul Brothers,60,1957,32,98
Miles Davis Miles Ahead,61,1957,62,0
Sonny Rollins Way Out West,63,1957,62,0
Art Pepper Meets the Rhythm Section,65,1957,16,0
Art Taylor Wailers,66,1957,62,0
Jay Jay Johnson Blue Trombone,68,1957,16,62
Hank Mobley Quintet,69,1957,62,0
Jimmy Giuffre Western Suite,71,1958,10,93
Sun Ra Jazz in Silhouette,72,1958,62,0
Art Blakey Moanin',74,1958,62,0
Cecil Taylor Looking Ahead,75,1958,52,0
Jimmy Smith The Sermon,76,1958,111,0
Blue Mitchell Big Six,77,1958,62,0
Clark Terry In Orbit,79,1958,16,62
Cannonball Adderley Somethin' Else,80,1958,16,62
Chico Hamilton Gongs East,81,1958,93,0
Hank Mobley Peckin' Time,82,1958,62,0
Mongo Santamaria Yambu,83,1958,4,0
Thelonious Monk Misterioso,86,1958,16,62
Ornette Coleman The Shape of Jazz To Come,88,1959,52,0
George Russell New York New York,89,1959,13,31
Miles Davis Kind Of Blue,90,1959,24,0
Charles Mingus Mingus Ah Um,91,1959,16,62
John Coltrane Giant Steps,92,1959,62,0
Billy Taylor And Four Flutes,94,1959,16,0
Charles Mingus Blues and Roots,95,1959,93,0
Gerry Mulligan What Is There To Say,96,1959,16,0
Horace Silver Blowin; the Blues Away,97,1959,62,0
Horace Silver Finger Poppin',98,1959,16,62
Jimmy Heath The Thumper,101,1959,16,0
Milt Jackson Bags And Trane,102,1959,62,0
Dave Brubeck Time Out,103,1959,32,0
Mongo Santamaria Mongo,104,1959,5,0
Ornette Coleman Free Jazz,106,1960,52,0
Max Roach Freedom Now Suite,107,1960,5,62
Charles Mingus Presents,108,1960,93,0
George Russell Jazz in the Space Age,110,1960,82,114
Eric Dolphy Far Cry,111,1960,62,93
Joe Harriott Free Form,112,1960,52,0
Tina Brooks True Blue,113,1960,62,0
Randy Weston Uhuru Africa,114,1960,82,0
Gil Evans Out of the Cool,115,1960,31,62
Lennie Tristano The New Tristano,116,1960,52,0
Hank Mobley Soul Station,119,1960,62,0
Horace Silver Horace-Scope,120,1960,62,0
Art Blakey The Big Beat,121,1960,16,0
Modern Jazz Quartet The Comedy,122,1960,93,109
Betty Carter The Modern Sound,123,1960,13,49
Wes Montgomery The Incredible Jazz Guitar,125,1960,62,0
Sam Jones Soul Society,126,1960,62,0
George Russell Stratusphunk,127,1960,82,93
David Newman & James Clay The Sound Of the Wide Open Spaces,128,1960,53,72
Duke Jordan Flight To Jordan,129,1960,62,0
Herbie Mann Flute Brass Vibes And Percussion,130,1960,5,0
Jazztet Meet the Jazztet,131,1960,62,0
Art Pepper Gettin' Together,133,1960,16,0
Ornette Coleman Ornette,134,1961,46,0
John Coltrane Impressions,135,1961,82,93
Charles Mingus Oh Yeah,136,1961,93,0
Yusef Lateef Eastern Sounds,137,1961,82,93
Bill Evans Explorations,138,1961,82,93
George Russell Ezz-thetic,139,1961,16,32
Oliver Nelson Blues and the Abstract Truth,141,1961,31,93
John Coltrane My Favorite Things,142,1961,62,82
Cecil Taylor New York City R&B,143,1961,52,0
Hank Mobley Workout,144,1961,62,0
Jackie McLean Bluesnik,145,1961,62,0
Mal Waldron The Quest,146,1961,52,62
Max Roach Percussion Bitter Sweet,147,1961,62,0
Ran Blake & Jeanne Lee The Newest Sound Around,148,1961,31,82
Stan Getz Focus,149,1961,11,16
Benny Carter Further Definitions,150,1961,13,116
Art Blakey Mosaic,151,1961,16,62
Jimmy Giuffre Fusion,152,1961,52,0
Oliver Nelson Afro-American Sketches,153,1961,13,93
Wes Montgomery So Much Guitar,154,1961,93,111
